index,지역명,연도,월,평당분양가격,전용면적
348,인천,2016,2,11698.5,85m²~102m²
349,인천,2016,2,11246.4,102m²~
350,경기,2016,2,10622.699999999999,모든면적
351,경기,2016,2,10870.199999999999,60m²
352,경기,2016,2,10784.4,60m²~85m²
353,경기,2016,2,11157.3,85m²~102m²
354,경기,2016,2,12107.699999999999,102m²~
355,부산,2016,2,10408.199999999999,모든면적
356,부산,2016,2,9896.699999999999,60m²
357,부산,2016,2,10098.0,60m²~85m²
358,부산,2016,2,9758.1,85m²~102m²
359,부산,2016,2,12579.599999999999,102m²~
360,대구,2016,2,10111.199999999999,모든면적
361,대구,2016,2,11025.3,60m²
362,대구,2016,2,10160.699999999999,60m²~85m²
363,대구,2016,2,8355.6,85m²~102m²
364,대구,2016,2,9051.9,102m²~
365,광주,2016,2,8477.699999999999,모든면적
366,광주,2016,2,7903.5,60m²
367,광주,2016,2,8520.6,60m²~85m²
368,광주,2016,2,,85m²~102m²
369,광주,2016,2,,102m²~
370,대전,2016,2,8098.2,모든면적
371,대전,2016,2,8530.5,60m²
372,대전,2016,2,8012.4,60m²~85m²
373,대전,2016,2,8121.299999999999,85m²~102m²
374,대전,2016,2,,102m²~
375,울산,2016,2,10051.8,모든면적
376,울산,2016,2,8527.199999999999,60m²
377,울산,2016,2,10074.9,60m²~85m²
378,울산,2016,2,8787.9,85m²~102m²
379,울산,2016,2,9484.199999999999,102m²~
380,세종,2016,2,8794.5,모든면적
381,세종,2016,2,8583.3,60m²
382,세종,2016,2,8830.8,60m²~85m²
383,세종,2016,2,8781.3,85m²~102m²
384,세종,2016,2,9081.6,102m²~
385,강원,2016,2,7170.9,모든면적
386,강원,2016,2,7557.0,60m²
387,강원,2016,2,7260.0,60m²~85m²
388,강원,2016,2,,85m²~102m²
389,강원,2016,2,7755.0,102m²~
390,충북,2016,2,6626.4,모든면적
391,충북,2016,2,6441.599999999999,60m²
392,충북,2016,2,6669.299999999999,60m²~85m²
393,충북,2016,2,7510.799999999999,85m²~102m²
394,충북,2016,2,7461.299999999999,102m²~
395,충남,2016,2,7497.599999999999,모든면적
396,충남,2016,2,8236.8,60m²
397,충남,2016,2,7530.599999999999,60m²~85m²
398,충남,2016,2,8385.3,85m²~102m²
399,충남,2016,2,8065.2,102m²~
400,전북,2016,2,6534.0,모든면적
401,전북,2016,2,6296.4,60m²
402,전북,2016,2,6557.099999999999,60m²~85m²
403,전북,2016,2,7844.099999999999,85m²~102m²
404,전북,2016,2,7533.9,102m²~
405,전남,2016,2,6345.9,모든면적
406,전남,2016,2,6596.7,60m²
407,전남,2016,2,6339.299999999999,60m²~85m²
408,전남,2016,2,7464.599999999999,85m²~102m²
409,전남,2016,2,7180.799999999999,102m²~
410,경북,2016,2,7190.7,모든면적
411,경북,2016,2,7167.599999999999,60m²
412,경북,2016,2,7230.299999999999,60m²~85m²
413,경북,2016,2,8355.6,85m²~102m²
414,경북,2016,2,7741.799999999999,102m²~
415,경남,2016,2,7781.4,모든면적
416,경남,2016,2,7791.299999999999,60m²
417,경남,2016,2,7837.5,60m²~85m²
418,경남,2016,2,9652.5,85m²~102m²
419,경남,2016,2,8820.9,102m²~
420,제주,2016,2,7484.4,모든면적
421,제주,2016,2,,60m²
422,제주,2016,2,7458.0,60m²~85m²
423,제주,2016,2,8523.9,85m²~102m²
424,제주,2016,2,8494.199999999999,102m²~
425,서울,2016,3,20370.899999999998,모든면적
426,서울,2016,3,21615.0,60m²
427,서울,2016,3,20219.1,60m²~85m²
428,서울,2016,3,23690.699999999997,85m²~102m²
429,서울,2016,3,21024.3,102m²~
430,인천,2016,3,10527.0,모든면적
431,인천,2016,3,10965.9,60m²
432,인천,2016,3,10266.3,60m²~85m²
433,인천,2016,3,11698.5,85m²~102m²
434,인천,2016,3,11246.4,102m²~
435,경기,2016,3,10609.5,모든면적
436,경기,2016,3,11355.3,60m²
437,경기,2016,3,10754.699999999999,60m²~85m²
438,경기,2016,3,11097.9,85m²~102m²
439,경기,2016,3,12144.0,102m²~
440,부산,2016,3,10487.4,모든면적
441,부산,2016,3,9738.3,60m²
442,부산,2016,3,10236.599999999999,60m²~85m²
443,부산,2016,3,9758.1,85m²~102m²
444,부산,2016,3,12299.099999999999,102m²~
445,대구,2016,3,10292.699999999999,모든면적
446,대구,2016,3,11025.3,60m²
447,대구,2016,3,10408.199999999999,60m²~85m²
448,대구,2016,3,8378.699999999999,85m²~102m²
449,대구,2016,3,9051.9,102m²~
450,광주,2016,3,8547.0,모든면적
451,광주,2016,3,8151.0,60m²
452,광주,2016,3,8583.3,60m²~85m²
453,광주,2016,3,,85m²~102m²
454,광주,2016,3,,102m²~
455,대전,2016,3,8098.2,모든면적
456,대전,2016,3,8530.5,60m²
457,대전,2016,3,8012.4,60m²~85m²
458,대전,2016,3,8121.299999999999,85m²~102m²
459,대전,2016,3,,102m²~
460,울산,2016,3,10117.8,모든면적
461,울산,2016,3,8527.199999999999,60m²
462,울산,2016,3,10147.5,60m²~85m²
463,울산,2016,3,8787.9,85m²~102m²
464,울산,2016,3,10088.1,102m²~
465,세종,2016,3,8811.0,모든면적
466,세종,2016,3,8583.3,60m²
467,세종,2016,3,8847.3,60m²~85m²
468,세종,2016,3,8811.0,85m²~102m²
469,세종,2016,3,9081.6,102m²~
470,강원,2016,3,7240.2,모든면적
471,강원,2016,3,7421.7,60m²
472,강원,2016,3,7329.299999999999,60m²~85m²
473,강원,2016,3,,85m²~102m²
474,강원,2016,3,7755.0,102m²~
475,충북,2016,3,6534.0,모든면적
476,충북,2016,3,6352.5,60m²
477,충북,2016,3,6669.299999999999,60m²~85m²
478,충북,2016,3,7510.799999999999,85m²~102m²
479,충북,2016,3,7461.299999999999,102m²~
480,충남,2016,3,6979.5,모든면적
481,충남,2016,3,7345.799999999999,60m²
482,충남,2016,3,6976.2,60m²~85m²
483,충남,2016,3,8385.3,85m²~102m²
484,충남,2016,3,8065.2,102m²~
485,전북,2016,3,6438.299999999999,모든면적
486,전북,2016,3,6303.0,60m²
487,전북,2016,3,6464.7,60m²~85m²
488,전북,2016,3,7487.7,85m²~102m²
489,전북,2016,3,7566.9,102m²~
490,전남,2016,3,6339.299999999999,모든면적
491,전남,2016,3,6606.599999999999,60m²
492,전남,2016,3,6332.7,60m²~85m²
493,전남,2016,3,7464.599999999999,85m²~102m²
494,전남,2016,3,7180.799999999999,102m²~
495,경북,2016,3,7190.7,모든면적
496,경북,2016,3,7170.9,60m²
497,경북,2016,3,7230.299999999999,60m²~85m²
498,경북,2016,3,8827.5,85m²~102m²
499,경북,2016,3,7636.2,102m²~
500,경남,2016,3,7863.9,모든면적
501,경남,2016,3,7807.799999999999,60m²
502,경남,2016,3,7893.599999999999,60m²~85m²
503,경남,2016,3,10074.9,85m²~102m²
504,경남,2016,3,8728.5,102m²~
505,제주,2016,3,7636.2,모든면적
506,제주,2016,3,,60m²
507,제주,2016,3,7636.2,60m²~85m²
508,제주,2016,3,,85m²~102m²
509,제주,2016,3,,102m²~
510,서울,2016,4,20595.3,모든면적
511,서울,2016,4,21839.399999999998,60m²
512,서울,2016,4,20446.8,60m²~85m²
513,서울,2016,4,26716.8,85m²~102m²
514,서울,2016,4,20964.899999999998,102m²~
515,인천,2016,4,10685.4,모든면적
516,인천,2016,4,10965.9,60m²
517,인천,2016,4,10385.099999999999,60m²~85m²
518,인천,2016,4,11698.5,85m²~102m²
519,인천,2016,4,15968.699999999999,102m²~
520,경기,2016,4,10556.699999999999,모든면적
521,경기,2016,4,11220.0,60m²
522,경기,2016,4,10701.9,60m²~85m²
523,경기,2016,4,11203.5,85m²~102m²
524,경기,2016,4,11916.3,102m²~
525,부산,2016,4,10457.699999999999,모든면적
526,부산,2016,4,9810.9,60m²
527,부산,2016,4,10187.099999999999,60m²~85m²
528,부산,2016,4,9669.0,85m²~102m²
529,부산,2016,4,12299.099999999999,102m²~
530,대구,2016,4,10335.599999999999,모든면적
531,대구,2016,4,11025.3,60m²
532,대구,2016,4,10454.4,60m²~85m²
533,대구,2016,4,8378.699999999999,85m²~102m²
534,대구,2016,4,9051.9,102m²~
535,광주,2016,4,8910.0,모든면적
536,광주,2016,4,8580.0,60m²
537,광주,2016,4,8896.8,60m²~85m²
538,광주,2016,4,9088.199999999999,85m²~102m²
539,광주,2016,4,11609.4,102m²~
540,대전,2016,4,8081.7,모든면적
541,대전,2016,4,8345.699999999999,60m²
542,대전,2016,4,8002.5,60m²~85m²
543,대전,2016,4,,85m²~102m²
544,대전,2016,4,,102m²~
545,울산,2016,4,10137.599999999999,모든면적
546,울산,2016,4,8533.8,60m²
547,울산,2016,4,10150.8,60m²~85m²
548,울산,2016,4,8787.9,85m²~102m²
549,울산,2016,4,9791.1,102m²~
550,세종,2016,4,8844.0,모든면적
551,세종,2016,4,8764.8,60m²
552,세종,2016,4,8906.699999999999,60m²~85m²
553,세종,2016,4,8758.199999999999,85m²~102m²
554,세종,2016,4,8956.199999999999,102m²~
555,강원,2016,4,7062.0,모든면적
556,강원,2016,4,7071.9,60m²
557,강원,2016,4,7203.9,60m²~85m²
558,강원,2016,4,,85m²~102m²
559,강원,2016,4,7755.0,102m²~
560,충북,2016,4,6494.4,모든면적
561,충북,2016,4,6319.5,60m²
562,충북,2016,4,6633.0,60m²~85m²
563,충북,2016,4,7510.799999999999,85m²~102m²
564,충북,2016,4,7461.299999999999,102m²~
565,충남,2016,4,7157.7,모든면적
566,충남,2016,4,7573.5,60m²
567,충남,2016,4,7128.0,60m²~85m²
568,충남,2016,4,8385.3,85m²~102m²
